Customer_Identifier|Fund_Identifier|Period_Ending|Relationship_Started|Service_Provider_Identifier|Service_Type|TM_AUM_Under_Authority
1|10035920|3/31/2023||||29727.25
1|10035920|3/31/2023||||-50894
1|10035920|3/31/2023||||-6450.75
1|10035920|3/31/2023||||5888.25
1|10035920|3/31/2023||||9242.25
1|10035920|3/31/2023||||14528.5
1|10035920|3/31/2023||||23762.5
1|10035920|3/31/2023||||-42968.25
1|10035920|3/31/2023||||-22001.5
1|10035920|3/31/2023||||-31620
1|10035920|3/31/2023||||-1489.25
1|10035920|3/31/2023||||28997.5
1|10035920|3/31/2023||||-14605.75
1|10035920|3/31/2023||||-46041
1|10035920|3/31/2023||||0
1|10035920|3/31/2023||||-1481.5
1|10035920|3/31/2023||||-26687.5
1|10035920|3/31/2023||||-83596.25
1|10035920|3/31/2023||||0
1|10035920|3/31/2023||||-285
1|10035920|3/31/2023||||1965
1|10035920|3/31/2023||||-1500
1|10035920|3/31/2023||||35476.98
1|10035920|3/31/2023||||-49.98
1|10035920|3/31/2023||||414
1|10035920|3/31/2023||||945
1|10035920|3/31/2023||||-13022.4
1|10035920|3/31/2023||||-3936
1|10035920|3/31/2023||||462
1|10035920|3/31/2023||||-840
1|10035920|3/31/2023||||-1580.04
1|10035920|3/31/2023||||-231
1|10035920|3/31/2023||||1512
1|10035920|3/31/2023||||429
