Custodian_Identifier|Customer_Identifier|Fund_Identifier|Mark_to_Market_Value|Market_Value|Period_Date|Position_Identifier|Position_Type|Security_Identifier|Cost|YTD GL
|1|10035918|0|0|3/31/2023|1041246054||1041246054|0|0
|1|10035918|0|0|3/31/2023|1041352218||1041352218|0|0
|1|10035918|0|0|3/31/2023|1041288977||1041288977|0|0
|1|10035918|0|0|3/31/2023|1041360910||1041360910|0|0
|1|10035918|0|0|3/31/2023|1040430910||1040430910|0|0
|1|10035918|0|0|3/31/2023|1041178387||1041178387|0|0
|1|10035918|0|0|3/31/2023|1041055024||1041055024|0|0
|1|10035918|0|0|3/31/2023|1040431100||1040431100|0|0
|1|10035918|0|0|3/31/2023|1041191864||1041191864|0|0
|1|10035918|0|0|3/31/2023|1041360876||1041360876|0|0
|1|10035918|0|0|3/31/2023|1041191934||1041191934|0|0
|1|10035918|0|0|3/31/2023|1040896688||1040896688|0|0
|1|10035918|0|0|3/31/2023|1041245963||1041245963|0|0
|1|10035918|0|0|3/31/2023|1041398040||1041398040|0|0
|1|10035918|0|0|3/31/2023|1041246147||1041246147|0|0
|1|10035918|0|0|3/31/2023|1040910716||1040910716|0|0
|1|10035918|0|0|3/31/2023|1041360877||1041360877|0|0
|1|10035918|0|0|3/31/2023|1041437472|Short|1041437472|0|0
|1|10035918|0|0|3/31/2023|1041837012||1041837012|0|0
|1|10035918|0|0|3/31/2023|1041123601||1041123601|0|0
|1|10035918|0|0|3/31/2023|1041837053||1041837053|0|0
|1|10035918|0|0|3/31/2023|1041079447||1041079447|0|0
|1|10035918|0|0|3/31/2023|1041352044||1041352044|0|0
|1|10035918|0|0|3/31/2023|1041207967||1041207967|0|0
|1|10035918|0|0|3/31/2023|1041412996||1041412996|0|0
|1|10035918|0|0|3/31/2023|1040712951||1040712951|0|0
|1|10035918|0|0|3/31/2023|1040430912||1040430912|0|-16454.2407
|1|10035918|0|0|3/31/2023|1041208037||1041208037|0|0
|1|10035918|0|0|3/31/2023|1040552784||1040552784|0|0
|1|10035918|0|0|3/31/2023|1040741530||1040741530|0|0
|1|10035918|0|0|3/31/2023|1040585463||1040585463|0|0
|1|10035918|0|0|3/31/2023|1041226384||1041226384|0|0
|1|10035918|0|0|3/31/2023|1040617749||1040617749|0|0
|1|10035918|0|0|3/31/2023|1040845709||1040845709|0|0
|1|10035918|0|0|3/31/2023|1040741768||1040741768|0|0
|1|10035918|0|0|3/31/2023|1041352106||1041352106|0|0
|1|10035918|0|0|3/31/2023|1040828481||1040828481|0|0
|1|10035918|0|0|3/31/2023|1040928225||1040928225|0|0
|1|10035918|0|0|3/31/2023|1040965439||1040965439|0|0
|1|10035918|0|0|3/31/2023|1041382262||1041382262|0|0
|1|10035918|0|0|3/31/2023|1041054802||1041054802|0|0
|1|10035918|0|0|3/31/2023|1041041341||1041041341|0|0
|1|10035918|0|0|3/31/2023|1040359030||1040359030|0|0
|1|10035918|0|0|3/31/2023|1041437634|Short|1041437634|0|0
|1|10035918|0|0|3/31/2023|1041178388||1041178388|0|0
|1|10035918|0|0|3/31/2023|1040303560||1040303560|0|0
|1|10035918|0|0|3/31/2023|1041226454||1041226454|0|0
|1|10035918|0|0|3/31/2023|1040366399||1040366399|0|0
|1|10035918|0|0|3/31/2023|1041230972||1041230972|0|0
|1|10035918|0|0|3/31/2023|1040431176||1040431176|0|0
|1|10035918|0|0|3/31/2023|1040575536||1040575536|0|0
|1|10035918|0|0|3/31/2023|1040397954||1040397954|0|0
|1|10035918|0|0|3/31/2023|1040585368||1040585368|0|0
|1|10035918|0|0|3/31/2023|1040397955||1040397955|0|0
|1|10035918|0|0|3/31/2023|1040787442||1040787442|0|0
|1|10035918|0|0|3/31/2023|1040552783||1040552783|0|0
|1|10035918|0|0|3/31/2023|1040823225||1040823225|0|0
|1|10035918|0|0|3/31/2023|1040575381||1040575381|0|0
|1|10035918|0|0|3/31/2023|1040845708||1040845708|0|0
|1|10035918|0|0|3/31/2023|1040787233||1040787233|0|0
|1|10035918|0|0|3/31/2023|1040858470||1040858470|0|0
|1|10035918|0|0|3/31/2023|1041004324||1041004324|0|0
|1|10035918|0|0|3/31/2023|1040858540||1040858540|0|0
|1|10035918|0|0|3/31/2023|1041157484||1041157484|0|0
|1|10035918|0|0|3/31/2023|1040950279||1040950279|0|0
|1|10035918|0|0|3/31/2023|1041289210||1041289210|0|0
|1|10035918|0|0|3/31/2023|1041079367||1041079367|0|0
|1|10035918|0|0|3/31/2023|1041397757||1041397757|0|0
|1|10035918|0|0|3/31/2023|1041123531||1041123531|0|0
|1|10035918|0|0|3/31/2023|1040303609||1040303609|0|0
|1|10035918|0|0|3/31/2023|1041141135||1041141135|0|0
|1|10035918|0|0|3/31/2023|1040803108||1040803108|0|0
|1|10035918|0|0|3/31/2023|1040359205||1040359205|0|0
|1|10035918|0|0|3/31/2023|1040880853||1040880853|0|0
|1|10035918|0|0|3/31/2023|1040366446||1040366446|0|0
|1|10035918|0|0|3/31/2023|1040896307||1040896307|0|0
|1|10035918|0|0|3/31/2023|1040692262||1040692262|0|0
|1|10035918|0|0|3/31/2023|1040910646||1040910646|0|0
|1|10035918|0|0|3/31/2023|1040754282||1040754282|0|0
